ozell.cruzado,Success,4624,SOLEIL.saturn.com,,,,,2016-05-25T12:54:33-05:00
ozell.cruzado,Success,4634,SOLEIL.saturn.com,,,,,2016-05-25T12:54:56-05:00
melynda.didonato,Success,4647,NFMC.saturn.com,,,,,2016-05-25T12:55:02-05:00
malorie.quick,Success,4634,VPM-CFDB01.saturn.int,,,,,2016-05-25T12:55:17-05:00
malorie.quick,Failure,4772,VPM-CFDB01.saturn.int,,,,,2016-05-25T12:55:21-05:00
malorie.quick,Success,4634,VPM-CFDB01.saturn.int,,,,,2016-05-25T12:55:43-05:00
melynda.didonato,Success,4624,NFMC.saturn.com,,,,,2016-05-25T12:55:51-05:00
melynda.didonato,Success,4659,OTTAWADC.saturn.com,,,,,2016-05-25T12:55:54-05:00
melynda.didonato,Failure,4625,MDM-WSRV01.saturn-dev.qa,,,,,2016-05-25T12:56:09-05:00
melynda.didonato,Success,4634,NFMC.saturn.com,,,,,2016-05-25T12:56:17-05:00
norma.gangemi,Success,4647,VPM-CFDB01.saturn.int,,,,,2016-05-25T12:56:28-05:00
bettina.tooker,Success,4624,OTTAWADC.saturn.com,,,,,2016-05-25T12:56:29-05:00
bettina.tooker,Success,4634,OTTAWADC.saturn.com,,,,,2016-05-25T12:56:50-05:00
malorie.quick,Success,5145,VPM-CFDB01.saturn.int,File,Network Shares/Digital,,,2016-05-25T12:56:50-05:00
norma.gangemi,Failure,4777,NFMC.saturn.com,,,,,2016-05-25T12:56:52-05:00
melynda.didonato,Success,4624,NFMC.saturn.com,,,,,2016-05-25T12:56:59-05:00
yukiko.parr,Success,4647,NFMC.saturn.com,,,,,2016-05-25T12:57:03-05:00
katharine.buser,Success,4624,NFMC.saturn.com,,,,,2016-05-25T12:57:21-05:00
yukiko.parr,Success,4634,SOLEIL.saturn.com,,,,,2016-05-25T12:57:36-05:00
yukiko.parr,Success,4647,NFMC.saturn.com,,,,,2016-05-25T12:57:42-05:00
katharine.buser,Success,4624,NFMC.saturn.com,,,,,2016-05-25T12:57:55-05:00
kallie.sprouse,Success,4647,SOLEIL.saturn.com,,,,,2016-05-25T12:58:08-05:00
suzi.grimley,Success,4634,NFMC.saturn.com,,,,,2016-05-25T12:58:15-05:00
katharine.buser,Success,4624,NFMC.saturn.com,,,,,2016-05-25T12:58:39-05:00
tamisha.trinh,Success,5140,CINCO-SSRV00.saturn.ext,,,,,2016-05-25T12:58:42-05:00
bert.cada,Success,4624,VPM-CFDB01.saturn.int,,,,,2016-05-25T12:58:44-05:00
kallie.sprouse,Success,4634,SOLEIL.saturn.com,,,,,2016-05-25T12:58:54-05:00
rogelio.danz,Success,4647,SOLEIL.saturn.com,,,,,2016-05-25T12:58:57-05:00
kaley.vanguilder,Failure,4772,VPM-CFDB01.saturn.int,,,,,2016-05-25T13:00:29-05:00
lakendra.danielson,Failure,4625,NFMC.saturn.com,,,,,2016-05-25T13:00:36-05:00
lakendra.danielson,Success,4647,NFMC.saturn.com,,,,,2016-05-25T13:00:39-05:00
